source,accs,rec1,rec2,accs_d2,accs_d3
Dates_200,0.64,0.5,0.791666667,0.577464789,0.586419753
Dates_200,0.64,0.538461538,0.75,0.575452716,0.579365079
Dates_200,0.74,0.666666667,0.793103448,0.567404427,0.574955908
Dates_200,0.7,0.826086957,0.592592593,0.605633803,0.594356261
Dates_200,0.46,0.826086957,0.148148148,0.563380282,0.582892416
Dates_200,0.7,0.608695652,0.777777778,0.579476861,0.588183422
Dates_200,0.7,0.481481481,0.956521739,0.567404427,0.588183422
Dates_200,0.6,0.590909091,0.607142857,0.555331992,0.566137566
Dates_200,0.72,0.523809524,0.862068966,0.577464789,0.579365079
Dates_200,0.62,0.571428571,0.681818182,0.551307847,0.5670194
Dates_200,0.7,0.6875,0.722222222,0.601609658,0.594356261
Dates_200,0.74,0.678571429,0.818181818,0.585513078,0.58994709
Dates_200,0.66,0.464285714,0.909090909,0.549295775,0.574074074
Dates_200,0.72,0.625,0.807692308,0.54527163,0.569664903
Dates_200,0.7,0.454545455,0.892857143,0.569416499,0.57319224
Dates_200,0.66,0.769230769,0.541666667,0.601609658,0.595238095
Dates_200,0.7,0.620689655,0.80952381,0.595573441,0.594356261
Dates_200,0.6,0.535714286,0.681818182,0.591549296,0.588183422
Dates_200,0.72,0.7,0.733333333,0.597585513,0.587301587
Dates_200,0.78,0.730769231,0.833333333,0.575452716,0.58377425
Dates_200,0.58,1,0.34375,0.609657948,0.602292769
Dates_200,0.64,0.615384615,0.666666667,0.589537223,0.582892416
Dates_120,0.563380282,0.471698113,0.654205607,0.541029994,0.552899288
Dates_120,0.605633803,0.443396226,0.76635514,0.516129032,0.555696846
Dates_120,0.61971831,0.40952381,0.824074074,0.520090549,0.552136317
Dates_120,0.577464789,0.474137931,0.701030928,0.530277306,0.550610376
Dates_120,0.58685446,0.489583333,0.666666667,0.540464063,0.555442523
Dates_120,0.58685446,0.439252336,0.735849057,0.524052066,0.548321465
Dates_120,0.549295775,0.4,0.681415929,0.523486135,0.552136317
Dates_120,0.633802817,0.494736842,0.745762712,0.531409168,0.547304171
Dates_120,0.671361502,0.611650485,0.727272727,0.53820034,0.552644964
Dates_120,0.577464789,0.396226415,0.757009346,0.52688172,0.548321465
Dates_120,0.55399061,0.45,0.646017699,0.530843237,0.554170905
Dates_120,0.582159624,0.443396226,0.719626168,0.521788342,0.536622584
Dates_120,0.568075117,0.431372549,0.693693694,0.542161856,0.553407935
Dates_120,0.615023474,0.433962264,0.794392523,0.51499717,0.530264496
Dates_120,0.563380282,0.490740741,0.638095238,0.543293718,0.557477111
Dates_120,0.596244131,0.576576577,0.617647059,0.540464063,0.553916582
Dates_120,0.605633803,0.485436893,0.718181818,0.529711375,0.552899288
Dates_120,0.572769953,0.431192661,0.721153846,0.530843237,0.551881994
Dates_120,0.577464789,0.552941176,0.59375,0.53820034,0.562309257
Dates_120,0.568075117,0.401960784,0.720720721,0.511035654,0.537385554
Dates_120,0.558685446,0.451327434,0.68,0.535936616,0.546032553
Dates_120,0.55399061,0.544444444,0.56097561,0.565365025,0.572736521
Dates_120,0.58685446,0.425925926,0.752380952,0.528013582,0.554425229
Dates_120,0.535211268,0.455357143,0.623762376,0.542161856,0.565615463
Dates_120,0.680751174,0.63,0.725663717,0.538766271,0.565869786
Dates_120,0.558685446,0.441176471,0.666666667,0.546689304,0.561546287
Dates_120,0.516431925,0.394495413,0.644230769,0.535370685,0.554170905
Dates_120,0.643192488,0.465346535,0.803571429,0.509903792,0.537894201
Dates_120,0.544600939,0.487179487,0.614583333,0.534804754,0.56180061
Dates_120,0.577464789,0.443396226,0.710280374,0.529145444,0.550610376
ar_120,0.637956204,0.56626506,0.705382436,,
ar_120,0.591240876,0.527777778,0.648199446,,
ar_120,0.605839416,0.502941176,0.707246377,,
ar_120,0.58540146,0.4870317,0.686390533,,
ar_120,0.597080292,0.569230769,0.622222222,,
ar_120,0.6,0.505882353,0.692753623,,
ar_120,0.611678832,0.563218391,0.661721068,,
ar_120,0.60729927,0.557422969,0.661585366,,
ar_120,0.635036496,0.615141956,0.652173913,,
ar_120,0.605839416,0.50764526,0.695530726,,
ar_120,0.604379562,0.519337017,0.699690402,,
ar_120,0.588321168,0.524456522,0.662460568,,
ar_120,0.583941606,0.413897281,0.742937853,,
ar_120,0.624817518,0.509146341,0.731092437,,
ar_120,0.618978102,0.566153846,0.666666667,,
ar_120,0.611678832,0.559270517,0.66011236,,
ar_120,0.601459854,0.525222552,0.675287356,,
ar_120,0.59270073,0.525993884,0.653631285,,
ar_120,0.627737226,0.581120944,0.673410405,,
ar_120,0.595620438,0.51572327,0.664850136,,
ar_120,0.605839416,0.448377581,0.760115607,,
ar_120,0.582481752,0.514880952,0.64756447,,
ar_120,0.60729927,0.521472393,0.685236769,,
